score_version	power_hard	power_soft_weighted	power_soft_prob_enroll	mean_ess_hard	mean_ess_soft_weighted	mean_ess_soft_prob_enroll	bias_hard	bias_soft_weighted	bias_soft_prob_enroll	mse_hard	mse_soft_weighted	mse_soft_prob_enroll	sens_emp	spec_emp
binary	0.34	0.29	0.25	1148.65	1148.65	637.24	-2.6037156338674206	-2.638285611059593	-2.5905774659118657	6.818428883184065	6.996052395865376	6.790505745352141	0.9471810184647786	0.2625976881796543
tertile	0.35	0.36	0.25	1149.95	883.1566666666666	637.34	-2.639810587985222	-2.5397427398812327	-2.563533551479748	7.01197977325227	6.497839335339538	6.64638612946951	0.9472447851623208	0.26154507681627354
quartile	0.36	0.31	0.35	1161.81	849.875	637.72	-2.6176007257315344	-2.551496361193233	-2.5084131547021125	6.89442471173591	6.5411018670667325	6.393453472504422	0.9472515268708676	0.25237351455359447
decile	0.3	0.36	0.32	1146.91	763.147	633.24	-2.6415636766086004	-2.5350501734301516	-2.536982221415303	7.029596799659139	6.484676374368998	6.528591156289194	0.9473379512742055	0.26393534138506347
continuous	0.32	0.19	0.31	1143.46	578.7208899774462	636.17	-2.598271664925711	-2.5458177177877706	-2.5230326928146667	6.785575962786276	6.5240242391041745	6.456667392399681	0.9473249692849226	0.2665562148612772
binary	0.77	0.82	0.41	308.87	308.87	442.76	-1.5826644451133411	-1.473875859869988	-2.2770574304165487	2.9080194913548523	2.5304849750859195	5.297611923960094	0.9473788757832426	0.9097946115479624
tertile	0.76	0.76	0.48	313.45	313.45	441.77	-1.604973236239108	-1.6714747855232106	-2.256449279418001	2.885334227324248	3.036034392258542	5.231495078112545	0.9472810200998115	0.9062454442659058
quartile	0.86	0.83	0.43	307.5	307.4825	442.99	-1.5801381185984762	-1.4013565317819499	-2.292237223402947	2.7334862104559887	5.209101648780321	5.396710834327906	0.9472709622221162	0.9108425968502606
decile	0.86	0.84	0.48	310.34	292.416	444	-1.4989242074130515	-1.4618733843614955	-2.2457103512622414	2.5123283169271184	2.4340851109500097	5.18992739972914	0.9474014308777391	0.9086094394341618
continuous	0.8	0.74	0.41	311.91	220.47007625391612	441.66	-1.6208566979619703	-1.1893545557214	-2.3052123670690605	2.937976144960482	4.6122871172735715	5.429211804866873	0.9473885612822053	0.9073213620426538
binary	0.26	0.23	0.22	1433.79	1433.79	636.49	-2.67544018816804	-2.673531046188882	-2.593562078260664	7.191191175363337	7.177645937103675	6.827315176993387	0.9960713092851559	0.05040307157561733
tertile	0.33	0.3	0.2	1433.73	977.91	636.76	-2.6679950045326573	-2.5772632553187855	-2.594280075665234	7.158944738658558	6.688040024780302	6.8098961226467445	0.9957213688353845	0.05039342337701051
quartile	0.29	0.31	0.25	1433.54	920.885	637.17	-2.67634600116668	-2.589968091257004	-2.5429433231313667	7.206500654054964	6.74976996751202	6.545501333315203	0.9949526336219916	0.050416647692175194
decile	0.36	0.22	0.28	1433.76	818.376	639.19	-2.625210092572748	-2.5730733026362547	-2.5248446359662897	6.928628591711064	6.67046740829961	6.447812206254125	0.9958948856232407	0.050397552623236114
continuous	0.37	0.09	0.24	1433.61	631.6987998643327	638.05	-2.635358211518951	-2.5862941089695144	-2.555302198671245	6.9853464069677	6.727024216042133	6.607845511081006	0.9953295355892824	0.05041710608357508
binary	0.32	0.3	0.51	1434.57	1434.57	442.36	-2.630758835703625	-2.6655911093277807	-2.2154988730104703	6.961714586210463	7.146239359897082	5.04499560602568	1	0.05040910478873443
tertile	0.29	0.33	0.43	1434.59	978.1966666666666	442.08	-2.6712353692277144	-2.5597624602687774	-2.2889401981372037	7.172222888240061	6.593828742804112	5.361561982067241	1	0.05039234189095923
quartile	0.32	0.36	0.5	1434.6	921.15	444.35	-2.649534111511273	-2.524021989867212	-2.2266780266562294	7.063576620869936	6.416431353846887	5.071028640554457	1	0.05038930826518094
decile	0.34	0.4	0.56	1434.59	818.459	442.99	-2.643174451601017	-2.481478520590842	-2.1813507003486112	7.02082110219295	6.204400551797384	4.8641557008432486	1	0.050397688032919066
continuous	0.35	0.44	0.48	1434.6	441.8110302123073	444.5	-2.629525843493398	-2.259463482377024	-2.2784036406054886	6.956941346512483	5.16611354136056	5.308147461037918	1	0.05039311384022438
