power_hard	power_soft_nat	power_soft_iptw	mean_enrol_hard	se_enrol_hard	mean_enrol_soft	se_enrol_soft	mean_treat_hard	se_treat_hard	mean_treat_soft	se_treat_soft	mean_ess_hard	se_ess_hard	mean_ess_soft_nat	se_ess_soft_nat	mean_ess_soft_iptw	se_ess_soft_iptw	true_beta	mean_beta_hard	se_beta_hard	mean_beta_soft_nat	se_beta_soft_nat	mean_beta_soft_iptw	se_beta_soft_iptw	bias_hard	bias_soft_nat	bias_soft_iptw	mse_hard	mse_soft_nat	mse_soft_iptw	sens_emp	spec_emp	score_version	snr
0.798	0.798	0.974	5293.26	5.109387878110053	5293.26	5.109387878110053	2647.964	3.120001639175357	2647.964	3.120001639175357	5293.26	5.109387878110053	5293.26	5.109387878110053	13293.262706742707	5.109382768717067	0.3364722366212129	0.2628248510834295	0.0041734699904718755	0.2628248510834295	0.0041734699904718755	0.34730174151166304	0.0036807898370055233	-0.07364738553778336	-0.07364738553778336	0.010829504890450134	0.014115445425474193	0.014115445425474193	0.006877836874449654	0.9000154955912919	0.3897788304873648	binary	1
0.936	0.97	0.886	5291.13	5.450136344381183	8000	0	2202.342	2.1527523679037097	2666.796	1.7785148292876254	5291.13	5.450136344381183	5333	0	16003.7692	4.438855981846578	0.3364722366212129	0.3249021864190247	0.0041127906781423165	0.3572162283419435	0.0038232680679875794	0.2637495720988511	0.003910035947136886	-0.0115700502021882	0.020743991720730614	-0.0727226645223618	0.008574474595626108	0.0077243851736367875	0.0129174881080754	0.9000170310285704	0.390207703112009	tertile	1
0.932	0.964	0.832	5298.696	5.59934715347157	8000	0	2073.616	2.0903061612346145	2499.922	1.7632611865586016	5298.696	5.59934715347157	5000	0	16007.571352380952	5.010605137692061	0.3364722366212129	0.3209278378845018	0.004054854840780659	0.348172350848177	0.003811363826360617	0.2501497761883441	0.003957885537464982	-0.015544398736711087	0.011700114226964094	-0.08632246043286877	0.008446110374207233	0.007385613287152241	0.015268331281093757	0.9000106106356469	0.3890202069606278	quartile	1
0.946	0.97	0.812	5296.656	5.435796454447901	8000	0	1899.794	1.891936038016055	2199.83	1.721022381049167	5296.656	5.435796454447901	4400	0	15997.841119391616	7.084979635820659	0.3364722366212129	0.3411478520161293	0.0041197419765451205	0.3705094858231331	0.003954394797288399	0.258273720794368	0.0043080819890852036	0.00467561539491638	0.034037249201920215	-0.07819851582684492	0.00849102608202182	0.008961516201431579	0.015376233519436797	0.9000069151466387	0.38938091619204446	decile	1
0.91	0.884	0.754	5298.672	5.033565973026441	8000	0	1468.254	1.702129683343145	1738.762	1.7098824837445503	5298.672	5.033565973026441	3475.3407973875387	0.8336536652523298	16006.30498456663	8.212309786632705	0.3364722366212129	0.3412233831672661	0.004420090134326686	0.37652334271326937	0.004351482945939484	0.26214639847692556	0.0047094538688879735	0.004751146546053186	0.040051106092056456	-0.07432583814428734	0.009771634594492554	0.011052857609769444	0.016591629131699565	0.9000083230396089	0.38911274685278696	continuous	1
0.652	0.652	1	1564.674	1.8671743700727343	1564.674	1.8671743700727343	783.366	1.3035576754507077	783.366	1.3035576754507077	1564.674	1.8671743700727343	1564.674	1.8671743700727343	9564.680435332437	1.8671725028964956	0.3364722366212129	0.32867913875410165	0.006241841843932051	0.32867913875410165	0.006241841843932051	0.9841719123128277	0.00470311623852994	-0.007793097867111216	-0.007793097867111216	0.6476996756916149	0.01950206658709225	0.01950206658709225	0.43055240176523196	0.9000194369656287	0.9567306807614913	binary	3
0.63	0.996	0.858	1560.66	1.9189678672011945	8000	0	781.166	1.3175997214830095	2665.776	1.823407051250241	1560.66	1.9189678672011945	5333	0	15997.405	4.32460633467369	0.3364722366212129	0.31554912962703946	0.006020210912425468	0.4235913494556357	0.00395377216051122	0.2554197947615004	0.004094598109196655	-0.020923106994173407	0.0871191128344228	-0.08105244185971248	0.018523003181902892	0.01539026465537644	0.014935599435664648	0.9000113755219104	0.9573862218249314	tertile	3
0.636	1	0.874	1560.854	1.945209770204797	8000	0	782.286	1.3027519846336575	2503.886	1.856270856039593	1560.854	1.945209770204797	5000	0	16003.431923809523	5.386969858258515	0.3364722366212129	0.32680724626419766	0.006291152656375461	0.45833681839199847	0.003956361473178815	0.2632593847519822	0.0039385274690817195	-0.009664990357015256	0.12186458177078559	-0.07321285186923068	0.01984313430976539	0.022661721547288856	0.013100608992556832	0.900005025516627	0.956926371951296	quartile	3
0.726	1	0.792	1562.062	1.9921580508079166	8000	0	743.444	1.1544727552806824	2199.48	1.702040270429677	1562.062	1.9921580508079166	4400	0	15986.662704367012	7.077685679779895	0.3364722366212129	0.34769507716890746	0.00636280214785235	0.48453619921817576	0.004047635013584331	0.25312157866472007	0.004517169382717444	0.011222840547694554	0.1480639625969629	-0.08335065795649282	0.020328092485143508	0.03009822827230854	0.01712933697862805	0.9000060602161991	0.9571556888674848	decile	3
0.738	1	0.612	1560.544	1.8761065213251398	8000	0	613.344	1.02832593883114	1282.07	1.4121325847362023	1560.544	1.8761065213251398	2563.4847266081974	1.0107709537313008	16019.186524128285	13.190763263163639	0.3364722366212129	0.3577653743921492	0.006193532701567428	0.6006676418130507	0.004891482415663676	0.2468596891008505	0.005818988260319273	0.021293137770936332	0.2641954051918377	-0.0896125475203624	0.01959496153149926	0.08173858563563004	0.02492686023558224	0.9000133305846868	0.9570976714241172	continuous	3
