snr	version	power_nat	power_iptw	power_hard	beta_nat	beta_iptw	beta_hard	n_enrol_hard	nns_hard	ess_nat	ess_iptw
1	binary	0.254	0.656	0.732	0.4074536845744043	0.32189877036172854	0.37084987794890395	4000	3.5296993878353295	1422.504367231813	7999.172523493967
1	continuous	0.49	0.478	0.732	0.4368424233013937	0.2455226686382759	0.37084987794890395	4000	3.5296993878353295	1422.504367231813	7999.74375211866
1	decile	0.432	0.504	0.732	0.42278903553638775	0.2542660268790971	0.37084987794890395	4000	3.5296993878353295	1422.504367231813	7998.830279325678
1	quartile	0.362	0.56	0.732	0.4093640484556578	0.2787421308169119	0.37084987794890395	4000	3.5296993878353295	1422.504367231813	7998.4653915338495
1	tertile	0.324	0.584	0.732	0.406526671767994	0.2925869492965899	0.37084987794890395	4000	3.5296993878353295	1422.504367231813	7999.8693623740255
3	binary	1	0.636	1	0.8591567951073655	0.528942086283089	0.8579279433700854	4000	2.8207451255041978	1424.3583450280134	7998.292796553023
3	continuous	0.882	0.544	1	0.4545172799737667	0.09994030120936764	0.8579279433700854	4000	2.8207451255041978	1424.3583450280134	8021.402966047407
3	decile	0.906	0.546	1	0.47674265973116714	0.11884667476917778	0.8579279433700854	4000	2.8207451255041978	1424.3583450280134	8062.851275802944
3	quartile	0.974	0.562	1	0.5570787844012907	0.2197210831551669	0.8579279433700854	4000	2.8207451255041978	1424.3583450280134	8005.6789181970125
3	tertile	0.998	0.71	1	0.6907470036847048	0.3444790217428869	0.8579279433700854	4000	2.8207451255041978	1424.3583450280134	8003.209021492159
